movie_id,creative_id,creative_type,genre
M1,C1,Contemporary Fiction,Comedy
M2,C2,Fantasy,Comedy
M3,C3,Historical Fiction,Drama
M4,C4,Contemporary Fiction,Drama
M5,C5,Contemporary Fiction,Drama
M6,C6,Historical Fiction,Drama
M7,C7,Science Fiction,Action
M8,C8,Dramatization,Drama
M9,C9,Dramatization,Thriller/Suspense
M10,C10,Contemporary Fiction,Action
M11,C11,Science Fiction,Adventure
M12,C12,Dramatization,Adventure
M13,C13,Dramatization,Drama
M14,C14,Contemporary Fiction,Thriller/Suspense
M15,C15,Dramatization,Drama
M16,C16,Dramatization,Black Comedy
M17,C17,Historical Fiction,Comedy
M18,C18,Kids Fiction,Musical
M19,C19,Historical Fiction,Drama
M20,C20,Dramatization,Thriller/Suspense
M21,C21,Dramatization,Drama
M22,C22,Historical Fiction,Drama
M23,C23,Fantasy,Action
M24,C24,Dramatization,Drama
M25,C25,Dramatization,Drama
M26,C26,Historical Fiction,Western
M27,C27,Contemporary Fiction,Comedy
M28,C28,Science Fiction,Adventure
M29,C29,Super Hero,Adventure
M30,C30,Science Fiction,Comedy
M31,C31,Contemporary Fiction,Comedy
M32,C32,Science Fiction,Adventure
M33,C33,Contemporary Fiction,Comedy
M34,C34,Dramatization,Drama
M35,C35,Science Fiction,Adventure
M36,C36,Dramatization,Musical
M37,C37,Contemporary Fiction,Drama
M38,C38,Contemporary Fiction,Comedy
M39,C39,Super Hero,Action
M40,C40,Science Fiction,Action
M41,C41,Dramatization,Black Comedy
M42,C42,Kids Fiction,Adventure
M43,C43,Historical Fiction,Drama
M44,C44,Contemporary Fiction,Horror
M45,C45,Dramatization,Comedy
M46,C46,Dramatization,Drama
M47,C47,Dramatization,Black Comedy
M48,C48,Historical Fiction,Drama
M49,C49,Science Fiction,Adventure
M50,C50,Dramatization,Drama
M51,C51,Kids Fiction,Adventure
M52,C52,Historical Fiction,Action
M53,C53,Historical Fiction,Drama
M54,C54,Historical Fiction,Drama
M55,C55,Contemporary Fiction,Drama
M56,C56,Science Fiction,Horror
M57,C57,Dramatization,Drama
M58,C58,Contemporary Fiction,Comedy
M59,C59,Dramatization,Comedy
M60,C60,Contemporary Fiction,Drama
M61,C61,Science Fiction,Thriller/Suspense
M62,C62,Dramatization,Action
M63,C63,Science Fiction,Action
M64,C64,Contemporary Fiction,Comedy
M65,C65,Dramatization,Thriller/Suspense
M66,C66,Historical Fiction,Drama
M67,C67,Fantasy,Adventure
M68,C68,Contemporary Fiction,Thriller/Suspense
M69,C69,Contemporary Fiction,Drama
M70,C70,Kids Fiction,Adventure
M71,C71,Science Fiction,Adventure
M72,C72,Historical Fiction,Action
M73,C73,Kids Fiction,Adventure
M74,C74,Super Hero,Action
M75,C75,Contemporary Fiction,Black Comedy
M76,C76,Contemporary Fiction,Romantic Comedy
M77,C77,Contemporary Fiction,Comedy
M78,C78,Kids Fiction,Adventure
M79,C79,Historical Fiction,Action
M80,C80,Contemporary Fiction,Comedy
M81,C81,Contemporary Fiction,Drama
M82,C82,Dramatization,Drama
M83,C83,Contemporary Fiction,Horror
M84,C84,Contemporary Fiction,Horror
M85,C85,Historical Fiction,Drama
M86,C86,Dramatization,Drama
M87,C87,Contemporary Fiction,Drama
M88,C88,Contemporary Fiction,Musical
M89,C89,Contemporary Fiction,Drama
M90,C90,Fantasy,Action
M91,C91,Contemporary Fiction,Comedy
M92,C92,Contemporary Fiction,Drama
M93,C93,Fantasy,Adventure
M94,C94,Dramatization,Drama
M95,C95,Dramatization,Drama
M96,C96,Contemporary Fiction,Comedy
M97,C97,Kids Fiction,Adventure
M98,C98,Historical Fiction,Romantic Comedy
M99,C99,Contemporary Fiction,Comedy
M100,C100,Contemporary Fiction,Thriller/Suspense
M101,C101,Historical Fiction,Drama
M102,C102,Dramatization,Drama
M103,C103,Dramatization,Drama
M104,C104,Contemporary Fiction,Drama
M105,C105,Contemporary Fiction,Drama
M106,C106,Dramatization,Drama
M107,C107,Historical Fiction,Drama
M108,C108,Science Fiction,Thriller/Suspense
M109,C109,Contemporary Fiction,Horror
M110,C110,Historical Fiction,Drama
M111,C111,Kids Fiction,Musical
M112,C112,Contemporary Fiction,Drama
M113,C113,Contemporary Fiction,Thriller/Suspense
M114,C114,Super Hero,Action
M115,C115,Dramatization,Drama
M116,C116,Contemporary Fiction,Drama
M117,C117,Fantasy,Adventure
M118,C118,Contemporary Fiction,Comedy
M119,C119,Dramatization,Drama
M120,C120,Contemporary Fiction,Thriller/Suspense
M121,C121,Dramatization,Drama
M122,C122,Dramatization,Drama
M123,C123,Contemporary Fiction,Drama
M124,C124,Contemporary Fiction,Horror
M125,C125,Contemporary Fiction,Drama
M126,C126,Historical Fiction,Horror
M127,C127,Dramatization,Drama
M128,C128,Historical Fiction,Drama
M129,C129,Science Fiction,Drama
M130,C130,Dramatization,Drama
M131,C131,Dramatization,Drama
M132,C132,Contemporary Fiction,Thriller/Suspense
M133,C133,Dramatization,Drama
M134,C134,Contemporary Fiction,Drama
M135,C135,Science Fiction,Thriller/Suspense
M136,C136,Dramatization,Drama
M137,C137,Dramatization,Drama
M138,C138,Kids Fiction,Horror
M139,C139,Contemporary Fiction,Drama
M140,C140,Contemporary Fiction,Thriller/Suspense
M141,C141,Contemporary Fiction,Horror
M142,C142,Contemporary Fiction,Comedy
M143,C143,Contemporary Fiction,Drama
M144,C144,Super Hero,Action
M145,C145,Contemporary Fiction,Drama
M146,C146,Historical Fiction,Drama
M147,C147,Super Hero,Action
M148,C148,Kids Fiction,Adventure
M149,C149,Historical Fiction,Western
M150,C150,Dramatization,Drama
M151,C151,Dramatization,Comedy
M152,C152,Historical Fiction,Western
M153,C153,Contemporary Fiction,Comedy
M154,C154,Historical Fiction,Action
M155,C155,Dramatization,Drama
