movie_id,movie_title,production_budget
M1,Mad Money,"$22,000,000 "
M2,Over Her Dead Body,"$10,000,000 "
M3,The Other Boleyn Girl,"$40,000,000 "
M4,Jodaeiye Nader az Simin,"$800,000 "
M5,War Horse,"$70,000,000 "
M6,Extremely Loud and Incredibly Close,"$40,000,000 "
M7,The Darkest Hour,"$34,800,000 "
M8,We Bought a Zoo,"$50,000,000 "
M9,Truth,"$9,600,000 "
M10,Point Break,"$100,000,000 "
M11,Star Wars Ep. VII: The Force Awakens,"$306,000,000 "
M12,The Revenant,"$135,000,000 "
M13,Stan & Ollie,"$10,000,000 "
M14,Destroyer,"$9,000,000 "
M15,Welcome to Marwen,"$45,000,000 "
M16,Vice,"$60,000,000 "
M17,Holmes & Watson,"$42,000,000 "
M18,Mary Poppins Returns,"$130,000,000 "
M19,Phantom Thread,"$35,000,000 "
M20,All the Money in the World,"$50,000,000 "
M21,The Mule,"$50,000,000 "
M22,If Beale Street Could Talk,"$12,000,000 "
M23,Dragon Ball Super: Broly,"$8,500,000 "
M24,The Post,"$50,000,000 "
M25,Mollyâ€™s Game,"$30,000,000 "
M26,Hostiles,"$50,000,000 "
M27,Father Figures,"$25,000,000 "
M28,Bumblebee,"$102,000,000 "
M29,Spider-Man: Into The Spider-Verse 3D,"$90,000,000 "
M30,Downsizing,"$68,000,000 "
M31,Pitch Perfect 3,"$45,000,000 "
M32,Jumanji: Welcome to the Jungle,"$90,000,000 "
M33,Second Act,"$15,700,000 "
M34,Mary Queen of Scots,"$25,000,000 "
M35,Star Wars Ep. VIII: The Last Jedi,"$262,000,000 "
M36,The Greatest Showman,"$84,000,000 "
M37,Ben is Back,"$13,000,000 "
M38,Just Getting Started,"$22,000,000 "
M39,Aquaman,"$160,000,000 "
M40,Mortal Engines,"$100,000,000 "
M41,"I, Tonya","$11,000,000 "
M42,Ferdinand,"$111,000,000 "
M43,The Shape of Water,"$19,500,000 "
M44,The Possession of Hannah Grace,"$6,000,000 "
M45,The Disaster Artist,"$10,000,000 "
M46,On the Basis of Sex,"$20,000,000 "
M47,The Favourite,"$15,000,000 "
M48,Live by Night,"$65,000,000 "
M49,Monster Trucks,"$125,000,000 "
M50,Hidden Figures,"$25,000,000 "
M51,Ralph Breaks The Internet,"$175,000,000 "
M52,Robin Hood,"$99,000,000 "
M53,20th Century Women,"$7,000,000 "
M54,Silence,"$46,500,000 "
M55,Creed II,"$50,000,000 "
M56,Resident Evil: The Final Chapter,"$40,000,000 "
M57,Darkest Hour,"$30,000,000 "
M58,Instant Family,"$48,000,000 "
M59,Green Book,"$23,000,000 "
M60,"Roman J. Israel, Esq.","$22,000,000 "
M61,Passengers,"$110,000,000 "
M62,Dangal,"$9,500,000 "
M63,Assassinâ€™s Creed,"$125,000,000 "
M64,Why Him?,"$38,000,000 "
M65,Patriots Day,"$40,000,000 "
M66,Fences,"$24,000,000 "
M67,Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000 "
M68,Widows,"$40,000,000 "
M69,Collateral Beauty,"$36,000,000 "
M70,Ballerina,"$30,000,000 "
M71,Rogue One: A Star Wars Story,"$200,000,000 "
M72,The Great Wall,"$150,000,000 "
M73,The Star,"$20,000,000 "
M74,Justice League,"$300,000,000 "
M75,"Three Billboards Outside Ebbing, Missouri","$12,000,000 "
M76,The Bounce Back,"$3,000,000 "
M77,Office Christmas Party,"$45,000,000 "
M78,Dr. Seussâ€™ The Grinch,"$75,000,000 "
M79,Overlord,"$38,000,000 "
M80,Daddyâ€™s Home 2,"$70,000,000 "
M81,Nobodyâ€™s Fool,"$19,000,000 "
M82,Jackie,"$9,000,000 "
M83,Incarnate,"$5,000,000 "
M84,The Eyes of My Mother,"$300,000 "
M85,Murder on the Orient Express,"$55,000,000 "
M86,LBJ,"$20,000,000 "
M87,Lady Bird,"$10,000,000 "
M88,La La Land,"$20,000,000 "
M89,Boy Erased,"$11,000,000 "
M90,Underworld: Blood Wars,"$35,000,000 "
M91,Paterson,"$5,000,000 "
M92,Miss Sloane,"$18,000,000 "
M93,The Nutcracker and the Four Realms,"$132,900,000 "
M94,Lion,"$12,000,000 "
M95,The Founder,"$15,000,000 "
M96,A Bad Moms Christmas,"$28,000,000 "
M97,Sing,"$75,000,000 "
M98,Rules Donâ€™t Apply,"$26,700,000 "
M99,Bad Santa 2,"$26,000,000 "
M100,Personal Shopper,"$6,400,000 "
