movie_id,revnue_id,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend
M1,R1,"$20,668,843 ","$4,375,214 ","$25,044,057 ","$7,736,452 "
M2,R2,"$7,570,127 ","$14,025,947 ","$21,596,074 ","$4,025,115 "
M3,R3,"$26,814,957 ","$51,455,013 ","$78,269,970 ","$8,203,061 "
M4,R4,"$7,098,492 ","$17,327,677 ","$24,426,169 ","$59,481 "
M5,R5,"$79,883,359 ","$76,932,170 ","$156,815,529 ","$7,515,402 "
M6,R6,"$31,847,881 ","$23,400,000 ","$55,247,881 ","$72,348 "
M7,R7,"$21,443,494 ","$41,388,221 ","$62,831,715 ","$2,993,519 "
M8,R8,"$75,624,550 ","$43,104,523 ","$118,729,073 ","$9,360,434 "
M9,R9,"$2,541,854 ","$4,300,726 ","$6,842,580 ","$66,232 "
M10,R10,"$28,782,481 ","$97,922,110 ","$126,704,591 ","$9,800,252 "
M11,R11,"$936,662,225 ","$1,127,953,592 ","$2,064,615,817 ","$247,966,675 "
M12,R12,"$183,637,894 ","$349,300,408 ","$532,938,302 ","$474,560 "
M13,R13,"$5,470,235 ","$23,592,439 ","$29,062,674 ","$78,104 "
M14,R14,"$1,533,324 ","$4,332,165 ","$5,865,489 ","$55,347 "
M15,R15,"$10,763,520 ","$2,322,617 ","$13,086,137 ","$2,354,205 "
M16,R16,"$47,836,282 ","$23,057,500 ","$70,893,782 ","$7,768,371 "
M17,R17,"$30,568,743 ","$11,357,862 ","$41,926,605 ","$7,411,522 "
M18,R18,"$171,958,438 ","$176,942,594 ","$348,901,032 ","$23,523,121 "
M19,R19,"$21,198,205 ","$26,613,994 ","$47,812,199 ","$216,495 "
M20,R20,"$25,106,325 ","$31,784,324 ","$56,890,649 ","$5,584,684 "
M21,R21,"$103,804,407 ","$69,649,587 ","$173,453,994 ","$17,509,431 "
M22,R22,"$14,915,773 ","$6,482,598 ","$21,398,371 ","$224,476 "
